Gene	OW1	OW2	OW3	OW4	YW2	YW3	YW4	YW5
FEX_0009555	1352.81	990.77	896.20	511.40	1426.96	1329.07	1128.99	444.90
FEX_0009556	977.75	948.31	724.17	619.93	1845.16	1695.95	1158.55	1134.17
FEX_0009557	620.25	644.69	357.83	348.07	892.84	537.05	513.45	169.83
FEX_0009558	1517.00	1096.00	1623.00	1717.00	2169.00	1881.00	1277.00	768.00
FEX_0009559	36.01	101.26	54.00	61.00	188.00	741.00	236.13	104.09
FEX_0009560	167.40	254.43	147.02	172.57	599.23	622.58	416.42	392.57
FEX_0009561	231.00	178.00	120.00	68.00	449.00	396.00	157.00	202.00
FEX_0009562	114.22	83.65	76.69	22.97	416.46	284.28	173.80	380.17
FEX_0009563	1658.55	1545.01	1511.27	979.94	3149.84	2009.79	1413.84	1683.74
FEX_0009564	4155.22	3719.90	3626.13	2212.30	5281.46	6198.89	3842.19	1542.05
FEX_0009565	97.40	181.79	295.98	364.63	100.27	40.77	282.25	7.53
FEX_0009566	1122.95	1506.49	1651.20	1189.08	8822.78	2128.17	2259.19	4310.67
FEX_0009567	2050.05	1716.51	2738.80	3687.92	1358.22	2342.83	2460.81	384.33
FEX_0009568	0.00	0.00	1.13	0.00	0.00	0.00	0.00	0.00
FEX_0009570	2.00	0.00	0.00	2.00	2.00	0.20	0.00	2.20
FEX_0009571	1.12	4.00	2.01	0.00	1.01	0.00	0.00	2.00
FEX_0009572	107.74	145.26	173.98	62.90	49.36	87.69	109.72	49.05
FEX_0009573	0.00	0.00	1.00	2.00	1.08	1.00	0.00	0.00
FEX_0009574	4.00	1.27	1.09	0.00	7.00	1.02	0.00	1.00
FEX_0009575	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
FEX_0009577	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0009578	290.45	469.08	402.04	265.97	501.56	360.23	326.91	133.62
FEX_0009579	1156.55	1425.92	1156.79	990.45	3287.43	2003.77	1680.05	784.39
FEX_0009580	0.00	1.00	1.60	0.00	0.00	0.00	0.00	0.00
FEX_0009581	0.00	14.88	2.68	0.00	1.19	0.00	2.47	0.00
FEX_0009582	321.37	535.37	336.21	155.65	1035.80	427.87	403.43	244.79
FEX_0009583	9.53	13.99	5.02	34.11	47.69	56.62	32.64	58.04
FEX_0009584	0.00	1.00	2.00	3.00	2.00	3.00	2.00	0.00
FEX_0009585	1.57	13.30	24.96	6.23	3.47	22.06	10.53	5.31
FEX_0009586	415.00	492.00	255.00	363.00	874.00	461.00	496.00	288.00
FEX_0009587	5.80	8.36	0.00	0.00	21.74	2.98	10.69	34.78
FEX_0009588	163.20	184.64	101.00	94.00	373.26	250.02	222.31	282.22
FEX_0009589	694.18	537.09	752.24	693.90	380.06	542.78	756.22	112.73
FEX_0009590	204.82	130.91	112.76	120.10	462.94	281.22	313.78	85.27
FEX_0009591	265.63	435.63	427.79	221.35	377.20	315.13	380.57	217.21
FEX_0009592	1242.38	1316.13	1184.74	862.22	1867.66	1705.28	1493.32	371.03
FEX_0009593	460.69	417.39	455.87	321.94	1020.70	483.81	680.26	291.07
FEX_0009594	0.00	2.00	0.00	0.00	0.00	2.00	1.00	0.00
FEX_0009595	21.00	39.04	37.00	76.00	20.02	40.00	31.02	4.00
FEX_0009596	2131.84	1914.32	2515.42	2017.05	2645.61	2443.43	2861.06	928.27
FEX_0009597	1876.61	1617.23	1569.86	1015.23	5527.79	3726.35	2585.67	2580.88
FEX_0009598	95.00	115.00	95.00	123.00	394.00	134.00	131.00	211.00
FEX_0009599	95.05	168.76	295.42	221.00	380.31	268.34	122.01	117.69
FEX_0009600	2.00	15.00	17.00	12.00	4.00	7.00	9.00	9.00
FEX_0009601	10.00	23.00	36.00	11.00	46.00	28.00	24.00	84.00
FEX_0009602	15.00	17.00	21.00	14.00	9.00	28.00	16.00	10.00
FEX_0009603	6.00	6.00	14.00	4.00	14.00	6.00	8.00	6.00
FEX_0009604	73.00	81.00	41.00	50.00	133.00	144.00	120.00	65.00
FEX_0009605	4.00	2.00	6.00	0.00	19.00	8.01	1.00	0.00
FEX_0009606	0.00	0.00	7.00	0.00	0.00	0.00	0.00	0.00
FEX_0009607	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0009608	518.60	310.26	433.42	596.08	212.00	269.00	535.01	34.31
FEX_0009609	182.53	302.12	235.50	129.10	300.27	411.76	338.94	262.57
FEX_0009610	15.28	21.62	19.97	28.83	0.00	50.24	8.82	3.00
FEX_0009611	2.39	0.00	7.11	0.00	0.38	1.00	0.60	1.19
FEX_0009612	3.20	3.00	0.00	0.00	56.35	2.00	11.64	33.93
FEX_0009613	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0009615	3.00	8.00	12.00	15.00	3.00	10.00	4.00	5.00
FEX_0009616	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
FEX_0009617	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
FEX_0009618	0.00	1.00	2.00	0.00	0.00	6.00	0.00	2.00
FEX_0009619	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0009620	433.92	519.30	362.80	241.23	1961.77	865.37	1004.14	875.37
FEX_0009621	3445.08	12334.70	11401.20	3078.77	7646.23	8402.63	3771.86	1595.63
FEX_0009622	0.00	22.42	0.00	0.00	0.00	28.04	5.23	0.00
FEX_0009623	2836.08	3019.78	4521.98	5988.76	3519.56	3887.95	5371.34	1101.43
FEX_0009624	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0009625	1631.00	950.00	1380.00	760.00	331.00	1335.00	657.00	167.00
FEX_0009626	0.00	0.00	2.57	0.00	0.00	0.00	0.00	0.00
